INFO: Loaded .env from /Users/drenbuqa/Documents/GitHub/Smart-Grocery/.env
INFO: MongoDB connection verified.
INFO: Connected to MongoDB database: smart_grocery
 * Serving Flask app 'app'
 * Debug mode: on
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
/Users/drenbuqa/Documents/GitHub/Smart-Grocery/Smart-Grocery/app.py:282: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  'created_at': {'$gte': datetime.utcnow() - timedelta(days=7)},
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /admin HTTP/1.1" 200 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/css/navbar.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/css/hero.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/css/global.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/css/cards.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/css/shopping_list.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/css/misc.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/css/buttons.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/js/modules/core.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/js/modules/ui.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/js/modules/search.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/js/modules/shopping_list.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/js/modules/stores.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/js/modules/compare.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/js/modules/product_modal.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/js/modules/deals.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/js/modules/profile.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:49] "GET /static/js/modules/main.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:57] "GET /admin/scraper/run HTTP/1.1" 302 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /admin HTTP/1.1" 200 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/css/global.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/css/navbar.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/css/hero.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/css/cards.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/css/buttons.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/css/shopping_list.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/js/modules/core.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/css/misc.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/js/modules/ui.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/js/modules/search.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/js/modules/stores.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/js/modules/compare.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/js/modules/shopping_list.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/js/modules/deals.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/js/modules/product_modal.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/js/modules/profile.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:12:58] "GET /static/js/modules/main.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /admin/products HTTP/1.1" 200 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/css/global.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/css/buttons.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/css/cards.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/css/hero.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/css/shopping_list.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/css/misc.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/css/navbar.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/js/modules/core.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/js/modules/deals.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/js/modules/compare.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/js/modules/search.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/js/modules/ui.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/js/modules/stores.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/js/modules/shopping_list.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/js/modules/product_modal.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/js/modules/profile.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:07] "GET /static/js/modules/main.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /admin/products/smart-import HTTP/1.1" 200 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/css/global.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/css/hero.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/css/navbar.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/css/buttons.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/css/cards.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/css/shopping_list.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/css/misc.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/js/modules/core.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/js/modules/shopping_list.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/js/modules/stores.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/js/modules/ui.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/js/modules/deals.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/js/modules/search.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/js/modules/compare.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/js/modules/product_modal.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/js/modules/main.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:35] "GET /static/js/modules/profile.js HTTP/1.1" 304 -
127.0.0.1 - - [03/Apr/2026 18:13:46] "POST /admin/api/products/smart-extract HTTP/1.1" 200 -
127.0.0.1 - - [03/Apr/2026 18:13:46] "GET /produktwelt/spar-logo.png HTTP/1.1" 404 -
